nombre,cuenta,username,followers,engagementRate
Fede Hoppe,https://www.instagram.com/hoppefede,hoppefede,"765,816",1%
💎️Clowii️🌎️️,https://www.instagram.com/cloegreco,cloegreco,"758,388",9.40%
Dario Orsi,https://www.instagram.com/darioorsi,darioorsi,"750,184",4.30%
Humor Arg👍🙈,https://www.instagram.com/humor.arg,humor.arg,"729,269",2.70%
Marcela Tauro,https://www.instagram.com/_marcelatauro,_marcelatauro,"723,176",0.60%
Alexander Caniggia,https://www.instagram.com/alexcaniggia,alexcaniggia,"721,801",
Ramiro Nayar,https://www.instagram.com/ramironayar,ramironayar,"718,165",1.70%
Adabel Guerrero,https://www.instagram.com/adabelguerrero,adabelguerrero,"717,849",1.40%
Wilmar Barrios,https://www.instagram.com/wilkpo,wilkpo,"714,725",6.20%
ʙʀᴇɴᴅᴀ ɢᴀɴᴅɪɴɪ,https://www.instagram.com/brendagandiniok,brendagandiniok,"711,512",1.10%
Lucas Alario,https://www.instagram.com/lucasalario,lucasalario,"707,126",7.10%
RepliK,https://www.instagram.com/manuelvainstein,manuelvainstein,"704,239",17.90%
Sofia Zamolo,https://www.instagram.com/sofiazamolo,sofiazamolo,"700,883",0.80%
Bianca Di Pasquale,https://www.instagram.com/biandipasquale,biandipasquale,"698,916",3.50%
Nacho Nayar,https://www.instagram.com/nachonayar,nachonayar,"696,199",1.20%
Joaquin Alvarez,https://www.instagram.com/polloalvarez,polloalvarez,"694,987",0.50%
Ricardo Adrian Centurion10,https://www.instagram.com/adrianricardo1993,adrianricardo1993,"692,757",4.30%
Ramon Abila,https://www.instagram.com/wanchope_abila9,wanchope_abila9,"688,719",9.80%
Olga Karina Jelinek,https://www.instagram.com/karijelinek,karijelinek,"679,921",1.10%
Lic. Laura Romano,https://www.instagram.com/integralnutricion,integralnutricion,"679,839",0.60%
Chino Leunis,https://www.instagram.com/leandroleunis,leandroleunis,"677,064",1.30%
Paulina Cocina - Recetas y eso,https://www.instagram.com/paulinacocina,paulinacocina,"674,814",2.10%
Nicolás Magaldi,https://www.instagram.com/ngmagaldi,ngmagaldi,"668,097",0.70%
Enzo Perez,https://www.instagram.com/enzonicolasperez35,enzonicolasperez35,"664,838",9.20%
Guido Kaczka,https://www.instagram.com/soyguidokaczka,soyguidokaczka,"659,940",5%
Andrea Rincon,https://www.instagram.com/andrearincon_top,andrearincon_top,"657,198",1%
RENATO,https://www.instagram.com/tatoqd,tatoqd,"656,939",2.80%
Andrès Gil,https://www.instagram.com/andresgill,andresgill,"655,774",3.70%
AnDy🎙,https://www.instagram.com/andykusnetzoff,andykusnetzoff,"655,300",1.80%
Quedé Para El Orto #QPO,https://www.instagram.com/quedeparaelorto,quedeparaelorto,"652,349",2.80%
Juan Guilera,https://www.instagram.com/guilera_juan,guilera_juan,"650,856",2.30%
Ori ⚡️,https://www.instagram.com/oridemierda,oridemierda,"649,954",34.60%
Simpsons,https://www.instagram.com/reiteforro,reiteforro,"645,338",3.60%
Rodriguez&Galati,https://www.instagram.com/rodriguezgalati,rodriguezgalati,"645,123",8.70%
Estefi Berardi,https://www.instagram.com/estefaniaberardi,estefaniaberardi,"640,819",1.40%
Andrés Nicolás D'Alessandro,https://www.instagram.com/dale10,dale10,"640,287",4.20%
GermanPaoloski,https://www.instagram.com/germanpaoloski,germanpaoloski,"635,898",0.20%
Tefi Russo,https://www.instagram.com/inutilisimas,inutilisimas,"634,414",1.30%
Fer Callejon,https://www.instagram.com/fercallejon,fercallejon,"633,750",1%
Federico Amador,https://www.instagram.com/federicoamador1,federicoamador1,"632,250",2.40%
Bárbara Martínez,https://www.instagram.com/barbarammzz,barbarammzz,"628,171",10.90%
Sebastian Pollo Vignolo,https://www.instagram.com/sebastianpollovignolo,sebastianpollovignolo,"626,342",1.90%
Fernando Gago,https://www.instagram.com/fergago5oficial,fergago5oficial,"625,921",10.30%
Rocio Igarzabal,https://www.instagram.com/rochi_igarzabalok,rochi_igarzabalok,"621,013",1.50%
SASHA FERRO,https://www.instagram.com/sashaferro,sashaferro,"612,632",11.60%
Agus Sierra- Actor,https://www.instagram.com/cachetesierra,cachetesierra,"612,125",3.60%
Gabriel Lucero,https://www.instagram.com/gabrielhlucero,gabrielhlucero,"610,927",7.10%
Mica Vazquez,https://www.instagram.com/micavazquezok,micavazquezok,"609,191",1.60%
Pablo Martin Rodriguez,https://www.instagram.com/paiorod,paiorod,"606,544",2.10%
Celeste Muriega,https://www.instagram.com/celestemuriega,celestemuriega,"604,917",0.60%
Luz,https://www.instagram.com/cipriotaluz,cipriotaluz,"603,649",0.80%
Juana Viale,https://www.instagram.com/juanavialeoficial,juanavialeoficial,"599,953",2.50%
LaGiladaOk 🇦🇷,https://www.instagram.com/lagilada.ok,lagilada.ok,"597,213",3.30%
Lizardo Ponce,https://www.instagram.com/lizardoponce,lizardoponce,"597,068",5.30%
El Gordo Cocina,https://www.instagram.com/elgordococina,elgordococina,"592,001",0.70%
Justina Bustos,https://www.instagram.com/justabustos,justabustos,"591,272",0.70%
Francisco Delgado,https://www.instagram.com/frandelgadooficial,frandelgadooficial,"587,842",1.10%
Agustina Casanova,https://www.instagram.com/agucasanova,agucasanova,"586,775",1.70%
Osvaldo Gross,https://www.instagram.com/osvaldo_gross,osvaldo_gross,"586,370",1.60%
Carolina Ibarra,https://www.instagram.com/caritoiba,caritoiba,"577,659",0.40%
Sergio Celli,https://www.instagram.com/cellisergio,cellisergio,"575,754",3.70%
B E L Ü,https://www.instagram.com/belenegri,belenegri,"571,504",19.20%
Lucas Velasco,https://www.instagram.com/lucasvelascook,lucasvelascook,"566,278",4.10%
Francis Mallmann,https://www.instagram.com/francismallmann,francismallmann,"564,524",2.70%
Francisco ♻️,https://www.instagram.com/frantinelli1,frantinelli1,"564,096",1.10%
Jey Mammon,https://www.instagram.com/jeymammon,jeymammon,"562,838",0.30%
María Eugenia Vidal,https://www.instagram.com/mariuvidal,mariuvidal,"560,694",2.20%
Lola Moran,https://www.instagram.com/lolitamoran,lolitamoran,"559,613",2.10%
Pablo Molinari,https://www.instagram.com/molinerd,molinerd,"558,350",3.40%
B E N J A M I N  A M A D E O 🗣,https://www.instagram.com/benjamadeo,benjamadeo,"548,519",1.10%
Emanuel Mammana,https://www.instagram.com/emanuel_mammana24,emanuel_mammana24,"543,041",1.80%
Cristina Fernández de Kirchner,https://www.instagram.com/cristinafkirchner,cristinafkirchner,"541,715",11.50%
Pablo Agustín,https://www.instagram.com/pabloagustinnn,pabloagustinnn,"540,950",5.10%
ᴍᴇʟ ʟᴇᴢᴄᴀɴᴏ,https://www.instagram.com/melchorlez,melchorlez,"539,497",2.80%
Facundo,https://www.instagram.com/facundoaranatagle,facundoaranatagle,"525,365",3%
Mirtha Legrand,https://www.instagram.com/mirthalegrand,mirthalegrand,"525,225",0.30%
Soy Camila,https://www.instagram.com/imcamila7,imcamila7,"522,265",12.50%
Diego Torres,https://www.instagram.com/diegotorresmusica,diegotorresmusica,"521,777",1.10%
Mariela Anchipi,https://www.instagram.com/chipimariela,chipimariela,"518,281",0.60%
Santiago Ariel Griffo,https://www.instagram.com/tyago.oficial,tyago.oficial,"514,794",1.40%
Dalma Maradona,https://www.instagram.com/dalmaradona,dalmaradona,"513,997",1.30%
Madness Clothing,https://www.instagram.com/madness_clothing,madness_clothing,"507,085",0.90%
Nicolas Tagliafico,https://www.instagram.com/tagliafico3,tagliafico3,"502,119",13%
Caro Domenech,https://www.instagram.com/domenechcaro,domenechcaro,"500,670",6.30%
Fernando Cavenaghi,https://www.instagram.com/fercaveoficial,fercaveoficial,"499,554",2.60%
Leo montero,https://www.instagram.com/soyleomontero,soyleomontero,"494,161",0.60%
Valen Etchegoyen,https://www.instagram.com/valentinaetchegoyen,valentinaetchegoyen,"491,742",9%
Meme Bouquet,https://www.instagram.com/memebouquet,memebouquet,"491,162",1.80%
Angie Landaburu,https://www.instagram.com/angelitalc,angelitalc,"482,484",1.50%
Santiago Giorgini,https://www.instagram.com/santigiorgini,santigiorgini,"481,633",1.60%
J O A Q U Í N  F E R R E I R A,https://www.instagram.com/soyjoaquinf,soyjoaquinf,"480,867",5.40%
Santi Bacigalup 🦊,https://www.instagram.com/santibacigalup,santibacigalup,"479,715",12.20%
🔮🌟🌵 Connie Isla,https://www.instagram.com/coisla,coisla,"477,458",4.30%
Ailin Jeanney,https://www.instagram.com/ailujeanney,ailujeanney,"477,279",2.80%
soymaju,https://www.instagram.com/soymaju,soymaju,"474,919",1.20%
Rafael Borré🇨🇴,https://www.instagram.com/rafaelsantosborre,rafaelsantosborre,"474,712",11.40%
Sofia Fernandez,https://www.instagram.com/sofiafernanndez,sofiafernanndez,"474,560",4.40%
Cucinare,https://www.instagram.com/cucinareok,cucinareok,"473,827",0.70%
Vanina Escudero,https://www.instagram.com/vaninaescudero,vaninaescudero,"472,990",1.20%
